reviewId,userName,userImage,content,score,thumbsUp,appVersion,at,replyContent,repliedAt,scam_related
7d00671f-2d08-4e2d-9a3c-dec8ffd88274,Mike last name,https://play-lh.googleusercontent.com/a/ACg8ocJTOrXxDJsqJZdHa9EcSxdkaHs4UijtxcT8VCd62VdwhBZRHw=mo,After creating account I was blocked with no explanation before I even talked to anyone. Tha was a waste of an hour,1,0,,2025-01-08 17:38:08,"Hello.
Accounts are blocked for violating the rules. Please write to us about this issue in the application in the ""Help"" section or by email support@fotostrana.ru We will check the information and help solve the problem.",2025-01-10 10:08:40,False
db405af0-8046-4c5c-bfd6-776f3bd4c733,Milli ky,https://play-lh.googleusercontent.com/a/ACg8ocJtLcKurQlgkZS8dJaI1hbvRBiPBwFqNvdfWZFOURIZTpMRVw=mo,Good,5,0,3.1.1297-google,2025-01-07 03:13:53,Hello. Thank you for your rating❤️,2025-01-10 10:02:24,False
a357cc15-630c-4575-9842-f110061c1581,lalit sahu,https://play-lh.googleusercontent.com/a/ACg8ocJV4T1IvW29ZLilR2OKTBffwjkGWm67sfsuePmu7-xzs3df2w=mo,Best app for free,4,0,3.1.1297-google,2025-01-05 14:15:18,Hello. Thank you for your feedback! We would appreciate 5 stars❤️,2025-01-05 18:33:43,False
8c3c3f52-d4ee-4a8e-8d2f-cfbe6f1409ec,Lives Samson,https://play-lh.googleusercontent.com/a/ACg8ocLIk_7aZAHdowq3gGLwULA8gPWgNFvxktm3vYrZHh5JE8eCCA=mo,Great app,5,0,3.1.1297-google,2025-01-05 03:06:18,Hello. Thank you for your feedback❤️,2025-01-05 18:30:17,False
9a451004-08a6-44cc-9c5d-f515214a6cce,Patel Hardik,https://play-lh.googleusercontent.com/a/ACg8ocL9s5-tfpnMw_HCc-R0oRVXAFeZZ3dL6-2-YAr5jphkUPErEQ=mo,Good,5,0,3.1.1297-google,2025-01-01 06:30:50,Hello. Thank you for your rating.❤️,2025-01-01 21:42:56,False
407ef090-a36a-49a7-a6bd-14802053ba32,Jungzy Comet,https://play-lh.googleusercontent.com/a-/ALV-UjWSZldTsInmsfyXQyiX7ZMTKNLpCHplTUUMvYTSmev-dClIgN-z,The app is good but too much ads is disturbing,2,0,3.1.1297-google,2024-12-28 17:21:11,"Hello.
Thanks to advertising, the application is free for everyone. VIP disables advertising. You can get it for free in many services of the site. Thank you.",2025-01-01 21:35:34,False
3639e26d-2dc1-41b1-96ac-0567b68f0dee,Wonder Woman,https://play-lh.googleusercontent.com/a/ACg8ocIPcippC1UAl61qL-Uxp-v8KMtfNarfFwfhq9kMIKrhCgYFJw=mo,Great,5,0,3.1.1292-google,2024-12-24 07:58:05,Hello. Thank you for your rating!😊,2024-12-24 13:18:52,False
6f881763-ad9b-4ff3-b0ce-4cc38ed97365,Danny Rand,https://play-lh.googleusercontent.com/a/ACg8ocJTgfqIGp3feg_C38h3OfMjzMbpoiyXf10BZih6yDjJFBgJ3A=mo,Best ever,5,0,3.1.1292-google,2024-12-22 01:54:59,"Hello.
Thank you for your feedback.❤️",2024-12-23 11:14:32,False
aa47d8d4-f966-4b9b-b2ae-7abe91fdcea8,John Carlos,https://play-lh.googleusercontent.com/a/ACg8ocLNR2GpprZZpfzvIlLESqQTXNVHbqOax1Rg18RgYx2oQgnzhA=mo,Excellent.,4,0,3.1.1292-google,2024-12-21 10:37:44,"Hello.
Thank you.😊",2024-12-23 11:08:38,False
065164a8-6a9c-4236-9648-2dc98f77edfb,Mary Ogwum,https://play-lh.googleusercontent.com/a/ACg8ocIgsSC-3kxypj3-ZhY0zDeNFUa1ueqBw2JjQsvLUALNchWcvw=mo,U people block account this app is not good do not download it in ur phone,1,0,3.1.1292-google,2024-12-19 16:45:15,"Hello.
Accounts are blocked for violating the rules after a thorough check. It is possible that the rules were violated.
There is no access to your account in this dialog. Please write to us by email support@fotostrana.ru We will check your account information and help resolve the issue. Thank you.",2024-12-20 09:46:52,False
b79db559-163c-483a-99cb-9b605bf33034,Natasha Murphy,https://play-lh.googleusercontent.com/a-/ALV-UjUcmJVgsfC_ASTEzvMrVqYAHzugb2Vbckvu_ZyVo7uTA3fHfJ0,Very good,5,0,,2024-12-18 05:27:48,Hello. Thank you for your rating.❤️,2024-12-19 09:54:28,False
d9318db3-357b-4429-b4ea-a00c99d60136,Osaeo Lucky,https://play-lh.googleusercontent.com/a/ACg8ocKZMHn5AOGRoHd1_-Lby_8DPx_vSRLjykRTaofLEsbmEHJVfQ=mo,This app is very nice,5,0,3.1.1287-google,2024-12-17 07:18:22,Hello. Thank you.❤️,2024-12-17 11:36:30,False
5cb50096-8ea9-4af5-a53f-7fada96a3309,Rajnish Tripathi,https://play-lh.googleusercontent.com/a/ACg8ocLeJdJA8nCvSy00bimQyCUGp8vUBKBtY8lUUMCgbPAfxg00Mw=mo,User friendly..and honest app,5,0,3.1.1287-google,2024-12-13 14:51:33,Hello. Thank you for your rating!😊,2024-12-16 09:51:35,False
f1e2c58c-475c-4faa-a18d-ef3d527127b1,Michael Mocha,https://play-lh.googleusercontent.com/a/ACg8ocI1Yulrwv1Li7_Faao7V5ZCtJOWsS9vxZQGKVcnpAt_Ztiulg=mo,It's the best app that I ever use before ♥️,5,0,3.1.1287-google,2024-12-12 08:08:35,"Hello. Thank you for your feedback, we are very pleased.😊❤️",2024-12-12 09:57:43,False
a59bcf85-a2ea-4334-ba4d-da9b535dd877,Trust Ikedi,https://play-lh.googleusercontent.com/a/ACg8ocKDCQcYrkqtu6RnUJiixZiuwQm8VXopchuYQbrJSUXMR2gN9w=mo,Nice application,5,0,3.1.1287-google,2024-12-04 09:57:23,Hello. Thank you for your feedback.❤️,2024-12-05 11:38:37,False
993bfd76-e4a6-4fc2-917a-b7d1dc6af25d,Paschal Ozo,https://play-lh.googleusercontent.com/a-/ALV-UjVnu_VVOi5dgF_oUe4DaoZY-wUTAzF7R-ZBEVkJpgaNSIUrLMFI,Good,5,0,3.1.1260-google,2024-11-24 02:34:24,Hello. Thank you for your feedback!😊,2024-11-27 23:50:06,False
998e1803-7cf4-41cf-a072-431b4e72f0ba,Amos Samuel,https://play-lh.googleusercontent.com/a-/ALV-UjUw4hAWw0h4V_I0YN6taHMkKlBNZpdWZrscDluvDxe1MnyUs7M,I really appreciate it,3,0,3.1.1274-google,2024-11-14 00:24:49,Hello. Thank you for your rating! We would be grateful for 5 stars! 😊 Thank you!,2024-11-17 18:13:14,False
94045aa2-5bdd-4425-811b-d1e4ba17ddd4,Swift Intlogistics,https://play-lh.googleusercontent.com/a-/ALV-UjW1ANl-FbJMcKXvCy4IJoW5pW_vCls3sufgRM8gfEfgv7PNB2c,Amazing app,5,0,,2024-11-13 15:15:45,Hello. Thank you for your rating!😊,2024-11-17 16:36:50,False
465673e6-8cb9-43c2-a094-a90e6f374307,Ozor Ifeanyi,https://play-lh.googleusercontent.com/a-/ALV-UjWsaQawxFnC2zGilfX80LqvhrRuoHkOM42s--CUQ9gQBnDe-Mui,Excellent,5,0,3.1.1260-google,2024-10-29 09:06:43,Hello. Thank you.❤️,2024-10-30 22:32:28,False
9de125df-2b73-4678-8d53-46655c9cfb49,James Scott,https://play-lh.googleusercontent.com/a/ACg8ocJcr4lPalW07qFVtyf6JkH-orxgRqXfycSOR1AzrodEEciNsg=mo,Better than ever,4,0,3.1.1260-google,2024-10-29 08:33:35,Hello. Thank you for your rating.😊We would be grateful for 5 stars❤️,2024-10-30 22:31:58,False
a2de8d72-f59b-409e-b461-ebab35e60dc0,Asogwa Herbert,https://play-lh.googleusercontent.com/a/ACg8ocK2-N3ktjPbn_f1AIcAzgdbNBvkTMEJuLoDBrKfhK_XHOkp2w=mo,Not stable,5,0,3.1.761-google,2024-10-15 14:18:20,"Hello. If you encounter any difficulties in the application, please write to us in the ""Help"" section of the application or by email support@fotostrana.ru We will help you solve the problem.
Thank you for your rating❤️",2024-10-17 13:26:21,False
408321ed-3cf2-481b-ae17-c63d4f1e1c9d,Rose Mary Mary,https://play-lh.googleusercontent.com/a/ACg8ocL3nefqRYipcgkO247-72MghUXyw97PPQBv2A8dcK0SeCe2=mo,Thank God,5,0,3.1.1252-google,2024-10-13 11:58:34,Hello. Thank you!😊,2024-10-14 16:10:33,False
2c5e1212-db3e-4d43-9662-a583e653119d,Joshua Joseph,https://play-lh.googleusercontent.com/a/ACg8ocI2T9EVYZsYDsKL3FwNWmwzHh1zb3X2wnuJGLlRfBFa4w8R2po=mo,Быстрее познакомьтесь со своей второй половинкой на фс-свиданиях легко 🥰,5,0,3.1.1248-google,2024-10-06 12:04:45,"Здравствуйте.
Совершенно верно, у нас миллионы пользователей желающих познакомиться😊
Спасибо за оценку❤️",2024-10-07 11:38:30,False
57cfdc82-3e59-4c52-9d75-a390143cf46b,Talmon Marco,https://play-lh.googleusercontent.com/a-/ALV-UjUMGkDjXt2oS-5JjZA22oOZUijoyPDG1imuqut4GbgXsEMBYQdz,Very good app John,5,1,3.1.1249-google,2024-10-02 03:03:51,Hello. Thank you.😊,2024-10-03 15:42:20,False
648683b5-c43d-4435-815a-86549817701d,Kido YT,https://play-lh.googleusercontent.com/a-/ALV-UjWsPconPq-45GKXNfb58yHeRHPekzNLGo7VoQUqvGE0----mCuS,Torture,1,0,3.1.1249-google,2024-09-30 12:51:56,"Hello. It's a pity, we tried so hard.
If you have any difficulties with the application, please write to our support in the ""Help"" section. Thank you.",2024-10-01 12:21:07,False
aeb17939-f168-4493-9220-9ded2048caec,Dr. Dev,https://play-lh.googleusercontent.com/a/ACg8ocK-E0FyhwqN8z4hHjhz5JB-SnflELiML3nhY2WOWY4IdWbrFg=mo,Good,5,0,3.1.1248-google,2024-09-30 02:44:26,Hello. Thank you😊,2024-10-01 12:17:18,False
5e97e5b1-16a5-40d7-b431-f95850f65cab,David Jones,https://play-lh.googleusercontent.com/a-/ALV-UjXTftx31FMRQg7ubV1-ovbR6QsnPrL0z_GbX-R0U5i-Mkghhmk,"Мусорное приложение - через каждое действие показывается реклама, сразу со старта начинают спамить боты (еще не успел заполнить анкету даже). Не рекомендую категорически.",1,0,3.1.1249-google,2024-09-29 15:02:35,"Здравствуйте.
У нас миллионы пользователей, естественно некоторые пользователи хотят пообщаться и познакомиться.
В настройках приватности https://fotostrana.ru/userinfo/room/privacy/ вы можете установить, кто сможет вам писать.
Реклама необходима, чтобы приложение было для всех бесплатным. VIP отключает рекламу.
Спасибо.",2024-09-29 21:27:55,False
31895efd-e372-4192-80d8-3de11af6b565,David Johnson,https://play-lh.googleusercontent.com/a/ACg8ocK3D_QdmRVwN0NcR3Ab6K2w8vSAz_G4DIybHwyh--YxScFL=mo,Good,5,0,,2024-09-27 04:56:12,Hello. Thank you!😊,2024-09-29 21:19:58,False
f3cc6266-ce1e-4468-9bb0-27a34f7bbea6,Azam Mousavi,https://play-lh.googleusercontent.com/a/ACg8ocIAFTFpty80UQIWHjxOIAUn2e1Fs2sWa9XbO8TKh5MjR--9ng=mo,Love you,5,0,3.1.1248-google,2024-09-21 20:45:10,"Hello.
We love you too!❤️ Thank you!",2024-09-23 10:57:07,False
09009c02-4d8d-4c34-b46e-02a42047434b,Augustine Orisakwe,https://play-lh.googleusercontent.com/a/ACg8ocJ63d5kYtSTmn-gC0aTRwZjsy_VjTZgmnqr__B1du0QIjHahg=mo,Excellent,5,0,,2024-09-20 05:42:03,Hello. Thank you❤️,2024-09-20 11:43:57,False
b3a29488-384e-4911-96b2-0473cee1216b,Daniel Black,https://play-lh.googleusercontent.com/a/ACg8ocJiU_P0ZlTnib9sjqqRKWPyYirefVi2LBZsVFsgpv99HyReyQ=mo,Good,5,0,3.1.1242-google,2024-09-08 03:58:45,Hello. Thank you❤️,2024-09-09 12:36:22,False
32c78fe1-6248-4e4a-87fe-68260e01a161,Shashi Sharma,https://play-lh.googleusercontent.com/a/ACg8ocLB5dZh5DRoAI-fvDEVJLuOlgrRRKp-XIaK4aI7wQioVNa7Qw=mo,Nice app 😊❤️,5,0,3.1.1242-google,2024-09-02 00:10:29,"Hello.
Thank you❤️ We are very pleased😊",2024-09-02 03:09:12,False
2ed14552-07d7-4dba-bfc3-93fa61a0fbf9,Nitali Roy,https://play-lh.googleusercontent.com/a/ACg8ocKG4aeAgbYuE7J6FlLofKHTOS3Mm8HV3BR6jGxEI3WSnADBTA=mo,Good,5,0,3.1.1238-google,2024-08-29 06:58:20,Hello. Thank you for your feedback!❤️,2024-08-29 09:38:09,False
dd095a39-4896-4891-97df-d9ed715612ec,Agbo Chukwuemeka,https://play-lh.googleusercontent.com/a-/ALV-UjVD3-sO4X_K2rVLZGG1kMalpHDHmw45NJZRBUeA9PltQv6Hix0,Nice 👍👍🙂,5,0,3.1.1238-google,2024-08-27 03:01:15,"Hello.
Thank you.❤️",2024-08-27 12:48:21,False
c44c7169-6594-4c15-b101-6347b11a98bf,Ebube Sylvester A,https://play-lh.googleusercontent.com/a-/ALV-UjWGQ06fEWPhg1Xb8_XyBxufv36fdsZtbeAwmZiOr9UOu_j1Tzv3,Nice and good,5,0,3.1.1220-google,2024-08-09 13:14:50,Hello. Thank you for your rating❤️,2024-08-12 10:17:02,False
2e29d2af-279e-41d8-805f-3606c93eadc6,Jones Edward,https://play-lh.googleusercontent.com/a-/ALV-UjXcjoB_FOgW4vXA1F4m-WQdEZ-YJE8XejG3s1GQ1TBcv6b_LMKb,Nice,1,0,3.1.1210-google,2024-07-28 09:16:48,"Hello.
Why only 1 star?😕
We would be grateful for 5 stars❤️",2024-07-29 05:11:33,False
e379a6ee-d0c9-446e-937e-d2331e9836c3,James Bolten,https://play-lh.googleusercontent.com/a/ACg8ocLze4_FIxVeV20YF6u-LVprIB-YIcPAjd77aXzFf0nJIUSugg=mo,"This app is stupid, you people are blocking it too much, the is good but you people are stupid by blocking this app like a fool, better stop blocking it, go and see sweet meet it is free dating app you people should go and Lean from them okay, do good so that you will get members very well go and correct your mistake okay good luck bye",1,4,3.1.1207-google,2024-07-13 20:34:11,"Hello.
Accounts are blocked only for violating the site rules.
This dialogue does not have access to your account. Please write to us by email support@fotostrana.ru We will check your account information. Thank you.",2024-07-15 20:53:09,False
42cc08c6-d2eb-4c17-88dc-db23739fdae0,Behruz Bahronov,https://play-lh.googleusercontent.com/a-/ALV-UjW-HRH7dCUIVBSK1KQqiXQa2CsBxAG7McoGRkAVJARNhnle5xaS,🤔,5,0,3.1.1207-google,2024-07-13 14:33:09,☺️❤️,2024-07-15 20:47:03,False
0a977050-de6c-4503-a835-0ba3b848cbed,Angela Celestine,https://play-lh.googleusercontent.com/a/ACg8ocIKtsyUtoiAdiKEIQrw5b5hl0P0-0N5zDu7Wdhd-t5Fcu5YoQ=mo,"это очень отличное приложение, я встретил много людей, с которыми могу подружиться, это лучшее",5,0,,2024-07-07 21:03:43,"Здравствуйте.
Спасибо за оценку!☺️ Приглашайте в приложение друзей, вместе будет весело❤️",2024-07-10 22:21:09,False
75e40af6-fb18-4773-8077-15be480e7016,Nwamu Ifeanyi,https://play-lh.googleusercontent.com/a/ACg8ocL4rWDDeHSz54QQVp-D_Eo_iZke-t46nQroVRHZDKHC2uVpPcw=mo,very nice best app,5,0,,2024-07-03 09:48:19,"Hello.
Thank you, we are very pleased❤️",2024-07-05 22:33:37,False
5e72d64d-c2fd-41c7-9260-d79a5624ee46,Ziyodulla Nurpulatov,https://play-lh.googleusercontent.com/a-/ALV-UjXJ2Girls5bWeWu9uYSG06677SjiXLlt8NsWTYUjsETl432TRKo,No free 👎,1,0,3.1.1202-google,2024-07-01 10:01:47,"Hello! On the site you can meet, chat, play and much more for free. Please write to us by email support@fotostrana.ru what exactly is paid for in the application.",2024-07-02 22:13:22,False
